1.66436,0.0133365,1.66432
1.66397,0.0152857,1.66392
1.66367,0.0176998,1.6636
1.66332,0.0198221,1.66323
1.66279,0.020808,1.66269
1.66226,0.0218258,1.66215
1.66179,0.0233152,1.66167
1.66135,0.0249169,1.66121
1.66114,0.0269664,1.66098
1.6612,0.0295483,1.66101
1.66119,0.032086,1.66096
1.66025,0.0332394,1.65999
1.65927,0.0343887,1.659
1.65856,0.0358351,1.65826
1.65797,0.0374743,1.65764
1.65746,0.0391972,1.6571
1.65714,0.0411382,1.65675
1.65679,0.0430804,1.65636
1.65629,0.0449281,1.65582
1.65579,0.0467691,1.65529
1.65521,0.0488342,1.65466
1.65454,0.0510962,1.65394
1.65396,0.053307,1.65331
1.65382,0.055279,1.65312
1.65366,0.057258,1.6529
1.65315,0.0588922,1.65235
1.65257,0.060423,1.65172
1.652,0.0620738,1.65111
1.65141,0.0638948,1.65047
1.65083,0.0657199,1.64983
1.65031,0.0679218,1.64924
1.64976,0.0701089,1.64862
1.64932,0.0721209,1.64812
1.64894,0.0740268,1.64767
1.64848,0.0758345,1.64715
1.64792,0.0773477,1.64653
1.64735,0.0788561,1.64591
1.64687,0.0806916,1.64536
1.64641,0.0825817,1.64483
1.64594,0.0847622,1.64427
1.6455,0.0872632,1.64373
1.64504,0.0896573,1.64317
1.64446,0.0911741,1.64253
1.64388,0.0926969,1.64188
1.64345,0.0945086,1.64137
1.64307,0.0964198,1.64091
1.64268,0.0983207,1.64042
1.64221,0.100186,1.63987
1.64174,0.102044,1.63931
1.64121,0.103421,1.63872
1.64068,0.104789,1.63812
1.64029,0.106936,1.63762
1.63995,0.109617,1.63714
1.63952,0.112052,1.63659
1.63882,0.113542,1.63581
1.63813,0.115037,1.63503
1.63804,0.117001,1.63484
1.63807,0.119054,1.63475
1.63759,0.120844,1.63417
1.63647,0.12231,1.63296
1.6354,0.123768,1.6318
1.63487,0.125424,1.63117
1.63435,0.12711,1.63055
1.63382,0.12891,1.62991
1.63325,0.130751,1.62923
1.63267,0.132574,1.62853
1.63221,0.134412,1.62795
1.63171,0.136219,1.62733
1.63105,0.138105,1.62655
1.63036,0.140001,1.62573
1.62967,0.141744,1.62492
1.62894,0.143349,1.62408
1.62832,0.145036,1.62334
1.62796,0.147213,1.62283
1.62762,0.149404,1.62232
1.62683,0.150979,1.62142
1.62594,0.152384,1.62043
1.62522,0.153872,1.61959
1.62462,0.155471,1.61888
1.62391,0.157033,1.61804
1.62291,0.15903,1.61688
1.62191,0.16097,1.61573
1.62117,0.162684,1.61485
1.6207,0.164341,1.61425
1.6201,0.166132,1.6135
1.61922,0.167839,1.61248
1.61822,0.169491,1.61134
1.61744,0.170911,1.61044
1.61668,0.172271,1.60956
1.61589,0.173824,1.60863
1.61504,0.17571,1.60762
1.61429,0.177609,1.6067
1.61349,0.179616,1.60572
1.61252,0.181488,1.60458
1.61147,0.182851,1.6034
1.61027,0.18397,1.60209
